Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,[],"[('Math', 'Juan')]",[],[],[]
8 AM,2,"[('Math', 'Juan')]",[],[],[],[]
8 AM,3,[],[],[],[],[]
8 AM,4,[],[],[],[],[]
9 AM,1,[],"[('Math', 'Juan')]",[],[],[]
9 AM,2,"[('Math', 'Juan')]",[],[],[],[]
9 AM,3,"[('History', 'Jose')]",[],[],[],[]
9 AM,4,[],[],[],[],[]
10 AM,1,[],[],[],[],[]
10 AM,2,[],[],[],[],[]
10 AM,3,[],[],[],[],[]
10 AM,4,[],[],[],[],[]
11 AM,1,[],[],[],[],[]
11 AM,2,"[('Science', 'Carlos')]",[],[],[],[]
11 AM,3,[],[],[],[],[]
11 AM,4,"[('Art', 'Jose')]","[('Art', 'Jose')]",[],[],[]
0 PM,1,"[('Science', 'Carlos')]",[],[],[],[]
0 PM,2,[],"[('Science', 'Carlos')]",[],[],[]
0 PM,3,"[('Art', 'Jose')]",[],[],[],[]
0 PM,4,[],"[('Art', 'Jose')]",[],[],[]
1 PM,1,[],[],[],[],[]
1 PM,2,[],[],[],[],[]
1 PM,3,"[('Art', 'Jose')]",[],[],[],[]
1 PM,4,[],[],[],[],[]
2 PM,1,"[('Math', 'Carlos')]",[],[],[],[]
2 PM,2,[],"[('Science', 'Carlos')]",[],[],[]
2 PM,3,"[('History', 'Maria')]",[],[],[],[]
2 PM,4,[],"[('History', 'Maria')]",[],[],[]
3 PM,1,"[('Science', 'Carlos')]",[],[],[],[]
3 PM,2,[],[],[],[],[]
3 PM,3,[],[],[],[],[]
3 PM,4,"[('History', 'Maria')]","[('History', 'Maria')]",[],[],[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
4 PM,3,[],[],[],[],[]
4 PM,4,[],[],[],[],[]
