Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,[],"[('Math', 'Juan')]",[],[],[]
8 AM,2,"[('Math', 'Juan')]",[],[],[],[]
9 AM,1,[],[],[],[],[]
9 AM,2,"[('Math', 'Juan')]",[],[],[],[]
10 AM,1,"[('Math', 'Juan')]","[('Math', 'Juan')]",[],[],[]
10 AM,2,[],[],[],[],[]
11 AM,1,"[('Science', 'Carlos')]","[('Science', 'Carlos')]",[],[],[]
11 AM,2,[],[],[],[],[]
0 PM,1,[],[],[],[],[]
0 PM,2,"[('Science', 'Carlos')]",[],[],[],[]
1 PM,1,[],[],[],[],[]
1 PM,2,"[('Science', 'Carlos')]",[],[],[],[]
2 PM,1,[],[],[],[],[]
2 PM,2,"[('Science', 'Carlos')]",[],[],[],[]
3 PM,1,[],[],[],[],[]
3 PM,2,[],[],[],[],[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
