Hour,Professor ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,Juan,"[('Math', '2')]","[('Math', '3')]","[('Math', '1')]","[('Science', '4')]",[]
8 AM,Carlos,[],[],[],[],[]
8 AM,Maria,[],[],[],[],[]
8 AM,Wit,"[('History', '1')]",[],[],[],[]
8 AM,Sia,[],[],[],[],[]
8 AM,Mina,[],[],[],[],[]
8 AM,Lebron,"[('PE', '4')]",[],[],"[('PE', '1')]","[('PE', '2')]"
9 AM,Juan,[],"[('Math', '3')]","[('Science', '2')]","[('Science', '4')]",[]
9 AM,Carlos,[],[],[],[],[]
9 AM,Maria,[],[],[],[],[]
9 AM,Wit,"[('History', '3')]","[('History', '1')]",[],[],[]
9 AM,Sia,[],"[('English', '4')]","[('English', '3')]","[('English', '3')]","[('English', '2')]"
9 AM,Mina,[],[],[],[],[]
9 AM,Lebron,"[('PE', '2')]",[],[],"[('PE', '1')]",[]
10 AM,Juan,"[('Science', '2')]",[],"[('Math', '1')]","[('Science', '1')]",[]
10 AM,Carlos,[],[],[],[],[]
10 AM,Maria,[],[],[],[],[]
10 AM,Wit,"[('History', '4')]","[('History', '4')]",[],[],[]
10 AM,Sia,"[('English', '1')]","[('English', '1')]",[],"[('English', '3')]","[('English', '2')]"
10 AM,Mina,[],[],[],[],[]
10 AM,Lebron,"[('PE', '3')]",[],[],[],[]
11 AM,Juan,[],[],[],[],[]
11 AM,Carlos,"[('Math', '3')]","[('Math', '2')]",[],"[('Science', '2')]",[]
11 AM,Maria,[],[],[],[],[]
11 AM,Wit,"[('History', '1')]",[],[],[],[]
11 AM,Sia,"[('English', '4')]","[('English', '3')]",[],[],[]
11 AM,Mina,[],[],"[('Art', '3')]","[('Art', '4')]",[]
11 AM,Lebron,[],[],"[('PE', '4')]",[],[]
0 PM,Juan,[],[],[],[],[]
0 PM,Carlos,"[('Math', '2')]","[('Math', '1')]","[('Science', '1')]",[],[]
0 PM,Maria,[],[],[],[],[]
0 PM,Wit,[],[],"[('History', '4')]",[],[]
0 PM,Sia,"[('English', '1')]","[('English', '4')]",[],"[('English', '4')]",[]
0 PM,Mina,[],[],[],"[('Art', '3')]",[]
0 PM,Lebron,[],[],[],[],[]
1 PM,Juan,"[('Math', '1')]","[('Science', '1')]",[],[],[]
1 PM,Carlos,[],"[('Science', '2')]","[('Math', '3')]",[],[]
1 PM,Maria,[],"[('History', '4')]",[],[],[]
1 PM,Wit,[],[],[],[],[]
1 PM,Sia,"[('English', '2')]",[],"[('English', '1')]","[('English', '2')]",[]
1 PM,Mina,"[('Art', '3')]",[],"[('Art', '4')]",[],[]
1 PM,Lebron,[],"[('PE', '3')]",[],[],[]
2 PM,Juan,[],[],[],[],[]
2 PM,Carlos,[],[],"[('Science', '4')]",[],[]
2 PM,Maria,"[('History', '3')]",[],[],[],[]
2 PM,Wit,[],"[('History', '3')]",[],[],[]
2 PM,Sia,[],[],[],[],[]
2 PM,Mina,"[('Art', '4')]","[('Art', '2')]",[],"[('Art', '2')]",[]
2 PM,Lebron,[],[],[],[],[]
3 PM,Juan,"[('Science', '4')]","[('Math', '2')]",[],[],[]
3 PM,Carlos,"[('Science', '1')]",[],[],[],[]
3 PM,Maria,"[('History', '3')]",[],[],[],[]
3 PM,Wit,[],[],"[('History', '1')]",[],[]
3 PM,Sia,[],[],[],[],[]
3 PM,Mina,"[('Art', '2')]","[('Art', '4')]","[('Art', '3')]","[('Art', '2')]",[]
3 PM,Lebron,[],[],[],[],[]
4 PM,Juan,[],[],[],[],[]
4 PM,Carlos,[],[],[],[],[]
4 PM,Maria,[],[],[],[],[]
4 PM,Wit,[],[],[],[],[]
4 PM,Sia,[],[],[],[],[]
4 PM,Mina,[],[],[],[],[]
4 PM,Lebron,[],[],[],[],[]
