Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,[],[],"[('Math', 'Juan')]",[],[]
8 AM,2,[],[],[],"[('Math', 'Juan')]",[]
8 AM,3,"[('PE', 'Lebron')]",[],"[('History', 'Wit')]",[],[]
8 AM,4,"[('Science', 'Juan')]","[('Science', 'Juan')]","[('PE', 'Lebron')]",[],[]
9 AM,1,"[('History', 'Wit')]","[('English', 'Sia')]","[('Math', 'Juan')]",[],[]
9 AM,2,[],"[('Science', 'Juan')]",[],"[('Science', 'Juan')]","[('PE', 'Lebron')]"
9 AM,3,"[('Math', 'Juan')]",[],"[('PE', 'Lebron')]",[],[]
9 AM,4,"[('English', 'Sia')]",[],[],[],[]
10 AM,1,"[('History', 'Wit')]","[('PE', 'Lebron')]",[],[],[]
10 AM,2,[],[],"[('Math', 'Juan')]",[],"[('English', 'Sia')]"
10 AM,3,"[('English', 'Sia')]","[('English', 'Sia')]","[('History', 'Wit')]",[],[]
10 AM,4,[],[],"[('English', 'Sia')]","[('English', 'Sia')]",[]
11 AM,1,"[('PE', 'Lebron')]","[('English', 'Sia')]","[('Math', 'Carlos')]",[],[]
11 AM,2,[],"[('Art', 'Mina')]",[],"[('Art', 'Mina')]","[('English', 'Sia')]"
11 AM,3,"[('English', 'Sia')]",[],"[('English', 'Sia')]",[],[]
11 AM,4,"[('History', 'Wit')]",[],"[('Art', 'Mina')]",[],[]
0 PM,1,[],"[('Science', 'Carlos')]",[],[],[]
0 PM,2,[],"[('English', 'Sia')]",[],"[('Math', 'Carlos')]",[]
0 PM,3,[],"[('Art', 'Mina')]",[],[],[]
0 PM,4,"[('Science', 'Carlos')]",[],"[('Science', 'Carlos')]","[('English', 'Sia')]",[]
1 PM,1,"[('English', 'Sia')]","[('Science', 'Carlos')]","[('English', 'Sia')]",[],[]
1 PM,2,"[('PE', 'Lebron')]",[],[],"[('English', 'Sia')]",[]
1 PM,3,"[('Art', 'Mina')]",[],"[('Art', 'Mina')]",[],[]
1 PM,4,"[('History', 'Wit')]",[],[],"[('PE', 'Lebron')]",[]
2 PM,1,"[('Science', 'Carlos')]","[('Science', 'Juan')]",[],[],[]
2 PM,2,"[('Science', 'Juan')]","[('Math', 'Carlos')]","[('Art', 'Mina')]",[],[]
2 PM,3,"[('History', 'Maria')]","[('Art', 'Mina')]","[('Math', 'Carlos')]",[],[]
2 PM,4,"[('Art', 'Mina')]",[],"[('History', 'Wit')]","[('Art', 'Mina')]",[]
3 PM,1,"[('History', 'Wit')]","[('History', 'Maria')]","[('Math', 'Carlos')]",[],[]
3 PM,2,"[('Science', 'Carlos')]",[],"[('Art', 'Mina')]",[],[]
3 PM,3,"[('Math', 'Juan')]","[('Math', 'Carlos')]","[('History', 'Maria')]",[],[]
3 PM,4,"[('History', 'Maria')]",[],[],"[('Art', 'Mina')]",[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
4 PM,3,[],[],[],[],[]
4 PM,4,[],[],[],[],[]
