Hour,Professor ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,Juan,[],"[('Math', '2')]","[('Math', '1')]",[],[]
8 AM,Carlos,[],[],[],[],[]
8 AM,Maria,[],[],[],[],[]
8 AM,Jose,[],[],[],[],[]
9 AM,Juan,[],"[('Math', '2')]",[],[],[]
9 AM,Carlos,[],[],[],[],[]
9 AM,Maria,[],[],[],[],[]
9 AM,Jose,"[('History', '3')]","[('Art', '4')]",[],[],[]
10 AM,Juan,[],[],[],[],[]
10 AM,Carlos,[],[],[],[],[]
10 AM,Maria,[],[],[],[],[]
10 AM,Jose,[],"[('Art', '3')]",[],[],[]
11 AM,Juan,[],[],[],[],[]
11 AM,Carlos,[],"[('Science', '1')]",[],[],[]
11 AM,Maria,[],[],[],[],[]
11 AM,Jose,"[('History', '4')]",[],[],[],[]
0 PM,Juan,[],[],[],[],[]
0 PM,Carlos,"[('Science', '2')]",[],[],[],[]
0 PM,Maria,[],[],[],[],[]
0 PM,Jose,"[('Art', '4')]","[('Art', '3')]",[],[],[]
1 PM,Juan,[],[],[],[],[]
1 PM,Carlos,"[('Science', '2')]","[('Math', '1')]",[],[],[]
1 PM,Maria,[],[],[],[],[]
1 PM,Jose,"[('Art', '4')]","[('History', '3')]",[],[],[]
2 PM,Juan,[],[],[],[],[]
2 PM,Carlos,[],"[('Math', '1')]",[],[],[]
2 PM,Maria,"[('History', '4')]",[],[],[],[]
2 PM,Jose,[],[],[],[],[]
3 PM,Juan,[],[],[],[],[]
3 PM,Carlos,"[('Science', '2')]","[('Science', '1')]",[],[],[]
3 PM,Maria,"[('History', '4')]",[],[],[],[]
3 PM,Jose,[],[],[],[],[]
4 PM,Juan,[],[],[],[],[]
4 PM,Carlos,[],[],[],[],[]
4 PM,Maria,[],[],[],[],[]
4 PM,Jose,[],[],[],[],[]
