Hour,Class ID,Monday,Tuesday,Wednesday,Thursday,Friday
8 AM,1,"[('History', 'Wit')]",[],"[('Math', 'Juan')]","[('PE', 'Lebron')]",[]
8 AM,2,"[('Math', 'Juan')]",[],[],[],"[('PE', 'Lebron')]"
8 AM,3,[],"[('Math', 'Juan')]",[],[],[]
8 AM,4,"[('PE', 'Lebron')]",[],[],"[('Science', 'Juan')]",[]
9 AM,1,[],"[('History', 'Wit')]",[],"[('PE', 'Lebron')]",[]
9 AM,2,"[('PE', 'Lebron')]",[],"[('Science', 'Juan')]",[],"[('English', 'Sia')]"
9 AM,3,"[('History', 'Wit')]","[('Math', 'Juan')]","[('English', 'Sia')]","[('English', 'Sia')]",[]
9 AM,4,[],"[('English', 'Sia')]",[],"[('Science', 'Juan')]",[]
10 AM,1,"[('English', 'Sia')]","[('English', 'Sia')]","[('Math', 'Juan')]","[('Science', 'Juan')]",[]
10 AM,2,"[('Science', 'Juan')]",[],[],[],"[('English', 'Sia')]"
10 AM,3,"[('PE', 'Lebron')]",[],[],"[('English', 'Sia')]",[]
10 AM,4,"[('History', 'Wit')]","[('History', 'Wit')]",[],[],[]
11 AM,1,"[('History', 'Wit')]",[],[],[],[]
11 AM,2,[],"[('Math', 'Carlos')]",[],"[('Science', 'Carlos')]",[]
11 AM,3,"[('Math', 'Carlos')]","[('English', 'Sia')]","[('Art', 'Mina')]",[],[]
11 AM,4,"[('English', 'Sia')]",[],"[('PE', 'Lebron')]","[('Art', 'Mina')]",[]
0 PM,1,"[('English', 'Sia')]","[('Math', 'Carlos')]","[('Science', 'Carlos')]",[],[]
0 PM,2,"[('Math', 'Carlos')]",[],[],[],[]
0 PM,3,[],[],[],"[('Art', 'Mina')]",[]
0 PM,4,[],"[('English', 'Sia')]","[('History', 'Wit')]","[('English', 'Sia')]",[]
1 PM,1,"[('Math', 'Juan')]","[('Science', 'Juan')]","[('English', 'Sia')]",[],[]
1 PM,2,"[('English', 'Sia')]","[('Science', 'Carlos')]",[],"[('English', 'Sia')]",[]
1 PM,3,"[('Art', 'Mina')]","[('PE', 'Lebron')]","[('Math', 'Carlos')]",[],[]
1 PM,4,[],"[('History', 'Maria')]","[('Art', 'Mina')]",[],[]
2 PM,1,[],[],[],[],[]
2 PM,2,[],"[('Art', 'Mina')]",[],"[('Art', 'Mina')]",[]
2 PM,3,"[('History', 'Maria')]","[('History', 'Wit')]",[],[],[]
2 PM,4,"[('Art', 'Mina')]",[],"[('Science', 'Carlos')]",[],[]
3 PM,1,"[('Science', 'Carlos')]",[],"[('History', 'Wit')]",[],[]
3 PM,2,"[('Art', 'Mina')]","[('Math', 'Juan')]",[],"[('Art', 'Mina')]",[]
3 PM,3,"[('History', 'Maria')]",[],"[('Art', 'Mina')]",[],[]
3 PM,4,"[('Science', 'Juan')]","[('Art', 'Mina')]",[],[],[]
4 PM,1,[],[],[],[],[]
4 PM,2,[],[],[],[],[]
4 PM,3,[],[],[],[],[]
4 PM,4,[],[],[],[],[]
